Name,Symbol,Total_electrons,valence_electrons,Principal_quantum_number
Hydrogen,H,1,1,1
Helium,He,2,2,1
Lithium,Li,3,1,2
Beryllium,Be,4,2,2
Boron,B,5,3,2
Carbon,C,6,4,2
Nitrogen,N,7,5,2
Oxygen,O,8,6,2
Fluorine,F,9,7,2
Neon,Ne,10,8,2
Sodium,Na,11,1,3
Magnesium,Mg,12,2,3
Aluminum,Al,13,3,3
Silicon,Si,14,4,3
Phosphorus,P,15,5,3
Sulfur,S,16,6,3
Chlorine,Cl,17,7,3
Argon,Ar,18,8,3
Potassium,K,19,1,4
Calcium,Ca,20,2,4
Scandium,Sc,21,,3
Titanium,Ti,22,,3
Vanadium,V,23,,3
Chromium,Cr,24,,3
Manganese,Mn,25,,3
Iron,Fe,26,,3
Cobalt,Co,27,,3
Nickel,Ni,28,,3
Copper,Cu,29,,3
Zinc,Zn,30,,3
Gallium,Ga,31,3,4
Germanium,Ge,32,4,4
Arsenic,As,33,5,4
Selenium,Se,34,6,4
Bromine,Br,35,7,4
Krypton,Kr,36,8,4
Rubidium,Rb,37,1,5
Strontium,Sr,38,2,5
Yttrium,Y,39,,4
Zirconium,Zr,40,,4
Niobium,Nb,41,,4
Molybdenum,Mo,42,,4
Technetium,Tc,43,,4
Ruthenium,Ru,44,,4
Rhodium,Rh,45,,4
Palladium,Pd,46,,4
Silver,Ag,47,,4
Cadmium,Cd,48,,4
Indium,In,49,3,5
Tin,Sn,50,4,5
Antimony,Sb,51,5,5
Tellurium,Te,52,6,5
Iodine,I,53,7,5
Xenon,Xe,54,8,5
Cesium,Cs,55,1,6
Barium,Ba,56,2,6
Lanthanum,La,57,,
Cerium,Ce,58,,
Praseodymium,Pr,59,,
Neodymium,Nd,60,,
Promethium,Pm,61,,
Samarium,Sm,62,,
Europium,Eu,63,,
Gadolinium,Gd,64,,
Terbium,Tb,65,,
Dysprosium,Dy,66,,
Holmium,Ho,67,,
Erbium,Er,68,,
Thulium,Tm,69,,
Ytterbium,Yb,70,,
Lutetium,Lu,71,,
Hafnium,Hf,72,,
Tantalum,Ta,73,,
Tungsten,W,74,,
Rhenium,Re,75,,
Osmium,Os,76,,
Iridium,Ir,77,,
Platinum,Pt,78,,
Gold,Au,79,,
Mercury,Hg,80,,
Thallium,Tl,81,3,6
Lead,Pb,82,4,6
Bismuth,Bi,83,5,6
Polonium,Po,84,6,6
Astatine,At,85,7,6
Radon,Rn,86,8,6
Francium,Fr,87,1,7
Radium,Ra,88,2,7
Actinium,Ac,89,,
Thorium,Th,90,,
Protactinium,Pa,91,,
Uranium,U,92,,
Neptunium,Np,93,,
Plutonium,Pu,94,,
Americium,Am,95,,
Curium,Cm,96,,
Berkelium,Bk,97,,
Californium,Cf,98,,
Einsteinium,Es,99,,
Fermium,Fm,100,,
Mendelevium,Md,101,,
Nobelium,No,102,,
Lawrencium,Lr,103,,
Rutherfordium,Rf,104,,
Dubnium,Db,105,,
Seaborgium,Sg,106,,
Bohrium,Bh,107,,
Hassium,Hs,108,,
Meitnerium,Mt,109,,
